Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CYM,Cayman Islands,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CYP,Cyprus,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,129.535361523521,131.229632987746,135.350824818002,144.298635347744,159.569051945202,133.259650973287,145.150154177821,138.990762816684,137.755983914701,132.085410553517,135.269808427709,128.70987755032,127.784345245112,136.409328249161,122.562389674736,119.913922849731,119.773030494297,121.019095584778,123.995957677434,121.375267578307,..,..
CZE,Czech Republic,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,293.064028134477,299.636625648273,292.756922113559,283.75097995674,268.960937267731,257.343257272804,255.140633566168,258.704269234471,252.4056207802,233.12714889566,236.229234166903,236.599539639996,234.755850985915,236.597153920085,232.034994610295,215.443503010621,205.921257472194,193.759040569038,184.358594590537,180.962138214926,178.307589511742,..
DEU,Germany,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,172.326045827373,160.757770493381,154.362359689248,154.127531838523,149.439908628385,148.258226032725,151.727740186733,147.765079784259,143.96799707294,137.95234573377,134.329116004951,136.650845773003,133.460363347827,134.858825166512,133.820195304397,130.948390381316,127.623881889045,120.884481707767,120.751586034342,120.608363652864,121.121104127798,..
DJI,Djibouti,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,84.5255486789135,..,..,..,..,..,..,..,..,..,..,..,..,..,92.2403156438032,93.4398619464667,91.726052441084,87.2749751334785,..,..,..,..
DMA,Dominica,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,50.6669228480222,..,..,..,..,..,..,..,..,..,..,..,..,..,77.7146887122874,79.0329942202255,76.197595165749,74.3984672682638,..,..,..,..
DNK,Denmark,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,132.751342725878,145.298659543941,136.33484299152,140.126377137105,137.398067807372,132.078928868503,145.363914453645,130.530186347463,125.703820263034,117.443401807061,110.250145419206,112.822817120604,111.141372789114,117.023839215556,110.647166241164,105.001608235267,108.881759381946,104.573326198363,102.860689491298,105.063094558328,108.874821685948,..
DOM,Dominican Republic,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,148.679830052312,148.214162356362,158.557679117187,150.725789365545,166.793444049961,165.540535667561,160.983376184918,164.866310255547,164.43820157901,157.990697278317,157.015095993281,156.45371118186,151.810865464286,151.223040488365,134.673422709225,133.456511268017,124.444000881911,117.284185183589,109.187917840006,104.736772257753,..,..
DZA,Algeria,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,141.222346783973,151.220718752405,152.652300393203,155.919053484611,151.657593843645,151.448063103277,141.044220123536,143.671454463653,141.381490647019,146.395344713353,145.516834377862,142.210375425856,144.268683364491,143.978228878382,138.09345434418,136.830063186417,144.113736094475,148.559454812946,147.053493621865,153.526419478744,..,..
EAP,East Asia & Pacific,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,495.305283135071,461.017479529349,431.226736542527,411.406679430444,386.131961984108,378.02749824002,360.630441473379,340.489065060344,331.933954256217,316.255373428647,298.863132924784,281.637747485206,280.185144294451,286.564587941669,299.899977481647,292.827281389832,285.060433368102,267.629400328304,264.115930633017,259.544351090913,..,..
ECA,Europe & Central Asia,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,447.502514985234,463.990310134094,474.114826863821,472.541227016964,468.382503437888,465.109839450078,460.032770132182,431.741317905107,430.771550438801,422.932149466945,398.297402449262,387.434439638264,372.115423758531,362.167519402934,338.322290703048,318.157752411892,304.496812722881,286.257742741255,278.573733934687,276.842456079817,..,..
ECU,Ecuador,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,106.130491980655,104.670150837242,103.490068965989,98.8027889362876,98.2913377321222,110.788716914429,118.233796566112,115.786679351254,115.396541332857,117.040257218799,118.879147497335,123.638258581604,123.570494431183,129.246201147045,128.348267924295,122.541941035101,117.784170515103,119.770684243873,108.22794605791,110.976643111374,..,..
EGY,"Egypt, Arab Rep.",EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,172.944665340058,174.093787248583,170.877857590397,177.005279836114,160.009775850201,162.325955480586,164.057338905943,161.205571601806,166.389013215341,172.47300940942,161.244909140221,160.190658722121,173.532481112376,178.539607738659,175.274550432658,182.594472289276,179.283683847118,176.402029372764,173.078089101055,164.501191012159,..,..
EMU,Euro area,EG.USE.COMM.GD.PP.KD,"Energy use per units of GDP (kg oil eq./$1,000 of 2005 PPP $)",0,1,151.242188573384,150.105532564567,146.102368064642,146.503556592017,142.884051572679,143.794910118143,145.971521683185,142.104596916318,140.611458771756,136.75272165519,133.612184852976,134.439932080253,132.939698577212,134.955228315069,133.814978249231,131.596308900854,127.112216072991,122.381105881486,121.681483583275,120.503596847373,122.194528155502,..
