,link,date
259,https://github.com/uqlibrary/technology-training-assets/raw/master/NVivo/nvivo_next_steps.pdf,2026-01-09
260,https://github.com/uqlibrary/technology-training-assets/raw/master/Excel/excel_intro.pdf,2026-01-09
261,https://youtu.be/fssMchzoVrg,2026-01-09
262,https://github.com/uqlibrary/technology-training-assets/raw/master/Excel/excel_processing_data.pdf,2026-01-09
263,https://github.com/uqlibrary/technology-training-assets/raw/master/Excel/Excel_Processing_Data.xlsx,2026-01-09
264,https://github.com/uqlibrary/technology-training-assets/raw/master/Excel/excel_further_functions.pdf,2026-01-09
265,https://github.com/uqlibrary/technology-training-assets/raw/master/Excel/Excel_Further_Functions.xlsx,2026-01-09
266,https://github.com/uqlibrary/technology-training-assets/raw/master/Excel/excel_charting.pdf,2026-01-09
267,https://github.com/uqlibrary/technology-training-assets/raw/master/Excel/ExcelCharting.zip,2026-01-09
268,https://commons.wikimedia.org/wiki/Featured_Pictures_in_the_Public_Domain,2026-01-09
269,https://www.overleaf.com/learn/how-to/Understanding_underfull_and_overfull_box_warnings,2026-01-09
270,https://www.overleaf.com/learn/latex/Beamer,2026-01-09
271,https://www.overleaf.com/learn/latex/Pgfplots_package,2026-01-09
272,https://orcid.org/,2026-01-09
273,https://www.overleaf.com/learn/how-to/Using_bibliographies_on_Overleaf,2026-01-09
274,https://tex.stackexchange.com/a/605142/160963,2026-01-09
275,https://www.tug.org/twg/accessibility/,2026-01-09
276,https://www.overleaf.com/learn/latex/An_introduction_to_tagged_PDF_files:_internals_and_the_challenges_of_accessibility,2026-01-09
277,https://tug.org/TUGboat/tb41-1/tb127fischer-accessible.pdf,2026-01-09
278,https://www.latex-project.org/publications/indexbytopic/pdf/,2026-01-09
279,https://www.overleaf.com/learn/latex/Learn_LaTeX_in_30_minutes,2026-01-09
280,https://www.overleaf.com/events/webinars,2026-01-09
281,https://www.overleaf.com/learn,2026-01-09
282,https://www.lyx.org/Home,2026-01-09
283,https://www.overleaf.com/edu/uq#templates,2026-01-09
284,https://www.overleaf.com/latex/templates/a-quick-guide-to-latex/fghqpfgnxggz,2026-01-09
285,https://tex.stackexchange.com,2026-01-09
